gdenergy_max,gdenergy_min,gdpuls_max,gdpuls_min,size_rules,n_inliers_included,n_outliers_included,n_outliers_p1,n_outliers_p0,n_outliers,rule_id,score,n_intersects,precision_vs_model,rules_agreement
inf,102.5,inf,-inf,1.0,0.0,25.0,47.0,48.0,65.0,0,1.0,1,0.98,0.975
-84.5,-inf,-77.5,-inf,2.0,0.0,16.0,47.0,48.0,65.0,1,0.5,2,0.98,0.975
-83.5,-inf,-81.0,-inf,2.0,0.0,15.0,47.0,48.0,65.0,2,0.5,2,0.98,0.975
-86.5,-inf,-75.0,-inf,2.0,0.0,14.0,47.0,48.0,65.0,3,0.5,2,0.98,0.975
103.0,-85.5,inf,100.0,3.0,0.0,4.0,47.0,48.0,65.0,4,1.0,1,0.98,0.975
