rule,type,coef,support,importance
gdpuls > -81.5 & gdenergy > 88.5,rule,0.0,0.0546875,0.0
gdenergy <= 89.5 & gdpuls > -74.5 & gdenergy <= -86.5,rule,0.8972129513626124,0.00390625,0.055966179229282806
gdpuls <= -27.5 & gdpuls <= 83.0 & gdenergy > 54.5,rule,0.0,0.015625,0.0
gdenergy <= -85.5 & gdpuls <= -80.5,rule,0.0,0.01953125,0.0
gdenergy <= -80.5 & gdenergy <= 88.0,rule,0.024766144220172148,0.0703125,0.006332032909861106
gdenergy > -86.5 & gdenergy <= 99.5 & gdpuls <= -93.5 & gdpuls <= 95.5,rule,-0.9151340731380633,0.00390625,0.057084059562766014
gdpuls > -81.5 & gdpuls > 89.5,rule,0.0,0.05078125,0.0
gdpuls > -81.5 & gdpuls > 89.0,rule,0.0,0.06640625,0.0
gdpuls > 56.0 & gdenergy > 13.5,rule,0.0025671351803606135,0.10546875,0.0007885121620874277
gdenergy <= 100.5 & gdpuls <= -81.5,rule,-0.03041538955675588,0.0390625,0.005892790094287153
gdenergy <= 93.5,rule,0.0,0.9765625,0.0
gdpuls <= 89.5 & gdenergy > 54.5 & gdenergy > -85.5,rule,0.0,0.0859375,0.0
gdenergy > -67.5 & gdpuls > -93.5 & gdpuls <= -90.0,rule,2.8566955501915867,0.00390625,0.17819441295704336
gdpuls > 58.5 & gdenergy > 46.0,rule,0.05012485776321332,0.04296875,0.01016465336002342
gdenergy > -67.5 & gdpuls <= -86.5,rule,0.0,0.01171875,0.0
gdpuls > -81.5 & gdenergy <= 91.5 & gdpuls > -27.5 & gdenergy > -85.0 & gdpuls <= 66.5 & gdenergy > 70.0 & gdpuls <= 101.0,rule,0.47225863281851166,0.01953125,0.06535243940648296
gdenergy > -76.5,rule,-0.032516834845217606,0.9375,0.007871072489181551
gdpuls > -91.5 & gdpuls > 101.0 & gdenergy > 113.5,rule,0.0,0.02734375,0.0
gdenergy > -76.0,rule,-0.004376794445196337,0.93359375,0.0010897819148829554
gdenergy <= 92.5 & gdpuls <= 95.5 & gdenergy > -87.5,rule,0.0,0.90625,0.0
gdpuls <= 89.5 & gdenergy > -80.5 & gdenergy <= 96.5 & gdenergy <= 105.5 & gdenergy <= 95.5 & gdpuls <= 92.5,rule,-0.00886458185799939,0.8515625,0.0031516525598736522
gdenergy <= 72.5 & gdpuls <= 66.5,rule,-0.00928291042602072,0.87890625,0.003028421358594224
gdenergy <= 89.0 & gdpuls > -81.5,rule,0.005704710472419814,0.91015625,0.0016313063287042762
gdpuls > 81.5,rule,-1.2178520091113005,0.07421875,0.31923134308149104
gdenergy > 95.5 & gdpuls > 1.0,rule,-0.21874298020591948,0.04296875,0.04435816215649045
gdpuls > 90.0 & gdenergy > 88.0 & gdpuls > 13.0 & gdenergy > -84.5,rule,0.0,0.02734375,0.0
gdpuls > -81.5 & gdpuls > 93.0 & gdenergy <= 106.0,rule,0.0,0.015625,0.0
gdpuls > -81.5 & gdenergy > 117.5 & gdpuls > -90.0,rule,-0.2790713407989621,0.0234375,0.04222025997336542
gdpuls <= 55.5 & gdenergy > -87.5,rule,0.0,0.87109375,0.0
gdpuls <= -85.5 & gdenergy <= 106.0,rule,-0.457143676757323,0.0234375,0.06916054089473198
