gdenergy_max,gdenergy_min,gdpuls_max,gdpuls_min,size_rules,n_inliers_included,n_outliers_included,n_outliers_p1,n_outliers_p0,n_outliers,rule_id,score,n_intersects,precision_vs_model,rules_agreement
inf,66.4,-28.0,-inf,2.0,0.0,5.0,8.0,29.0,67.0,0,1.0,0,0.97,1.0
-48.0,-inf,inf,19.0,2.0,0.0,3.0,8.0,29.0,67.0,1,1.0,0,0.97,1.0
