gdenergy_max,gdenergy_min,gdpuls_max,gdpuls_min,size_rules,n_inliers_included,n_outliers_included,n_outliers_p1,n_outliers_p0,n_outliers
66.4,-inf,50.4,-73.0,3,499,5,0,18,67
inf,-74.0,50.4,-inf,2,520,17,0,18,67
