gdenergy_max,gdenergy_min,gdpuls_max,gdpuls_min,size_rules,n_inliers_included,n_outliers_included,n_outliers_p1,n_outliers_p0,n_outliers,rule_id,score,n_intersects,precision_vs_model,rules_agreement
inf,110.0,inf,-inf,2.0,0.0,24.0,43.0,61.0,68.0,0,0.67,2,0.96,0.9906
-77.0,-inf,inf,-18.0,2.0,0.0,1.0,43.0,61.0,68.0,1,1.0,0,0.96,0.9906
inf,110.0,inf,-inf,3.0,0.0,24.0,43.0,61.0,68.0,2,0.67,2,0.96,0.9906
55.0,-49.0,inf,90.0,4.0,0.0,6.0,43.0,61.0,68.0,3,0.83,1,0.96,0.9906
55.0,-49.0,inf,90.0,3.0,0.0,6.0,43.0,61.0,68.0,4,0.83,1,0.96,0.9906
-83.0,-89.0,-78.0,-95.0,6.0,0.0,12.0,43.0,61.0,68.0,5,1.0,0,0.96,0.9906
inf,110.0,inf,-inf,1.0,0.0,24.0,43.0,61.0,68.0,6,0.67,2,0.96,0.9906
