gdenergy_max,gdenergy_min,gdpuls_max,gdpuls_min,size_rules,n_inliers_included,n_outliers_included,n_inliers,n_inliers_p0,n_inliers_p1,n_outliers_p1,n_outliers_p0,n_outliers
110.5,-85.5,99.5,-inf,3,610,24,614,614,156,69,69,69
88.0,-inf,inf,-92.5,2,603,38,614,614,156,69,69,69
inf,-80.5,inf,-83.5,2,587,46,614,614,156,69,69,69
111.5,-87.5,89.5,-89.0,4,603,22,614,614,156,69,69,69
107.0,-83.5,91.5,-89.0,4,597,17,614,614,156,69,69,69
100.0,-inf,79.5,-inf,2,598,34,614,614,156,69,69,69
inf,-inf,inf,-77.5,1,590,47,614,614,156,69,69,69
inf,-inf,64.0,-inf,1,584,41,614,614,156,69,69,69
72.5,-inf,inf,-inf,1,582,37,614,614,156,69,69,69
99.5,-85.5,95.5,-85.5,4,604,17,614,614,156,69,69,69
100.0,-inf,89.5,-inf,2,606,36,614,614,156,69,69,69
99.5,-86.5,95.5,-93.5,4,608,22,614,614,156,69,69,69
105.0,-inf,93.0,-81.5,3,601,18,614,614,156,69,69,69
105.0,-86.5,121.5,-91.0,4,610,24,614,614,156,69,69,69
96.5,-inf,96.0,-81.5,5,597,17,614,614,156,69,69,69
95.0,-83.0,inf,-inf,2,598,24,614,614,156,69,69,69
107.0,-86.0,96.0,-inf,3,610,24,614,614,156,69,69,69
95.5,-inf,83.5,-inf,2,595,32,614,614,156,69,69,69
88.5,-86.5,inf,-inf,2,600,24,614,614,156,69,69,69
112.5,-93.5,87.5,-92.5,6,602,31,614,614,156,69,69,69
95.5,-inf,inf,-81.5,2,598,22,614,614,156,69,69,69
100.0,-86.5,inf,-81.5,3,601,20,614,614,156,69,69,69
89.0,-inf,inf,-81.5,2,594,20,614,614,156,69,69,69
88.5,-86.0,121.5,-inf,3,600,23,614,614,156,69,69,69
114.0,-inf,81.5,-83.5,3,592,21,614,614,156,69,69,69
96.0,-90.0,66.5,-inf,3,582,25,614,614,156,69,69,69
111.5,-87.5,88.5,-inf,4,603,26,614,614,156,69,69,69
